Time,Annotation
0.023219954,-220
0.026122448,-220
0.029024943,-220
0.031927437,-220
0.034829931,-220
0.037732426,-220
0.04063492,-220
0.043537414,-220
0.046439909,-220
0.049342403,-220
0.052244897,-220
0.055147392,-220
0.058049886,-220
0.06095238,-220
0.063854875,-220
0.066757369,-220
0.069659863,-220
0.072562358,-220
0.075464852,-220
0.078367346,-220
0.081269841,-220
0.084172335,-220
0.087074829,-220
0.089977324,-220
0.092879818,-220
0.095782312,-220
0.098684807,-220
0.101587301,-220
0.104489795,-220
0.10739229,-220
0.110294784,-220
0.113197278,-220
0.116099773,-220
0.119002267,-220
0.121904761,-220
0.124807256,-220
0.12770975,-220
0.130612244,-220
0.133514739,-220
0.136417233,-220
0.139319727,-220
0.142222222,-220
0.145124716,-220
0.14802721,-220
0.150929705,-220
0.153832199,-220
0.156734693,-220
0.159637188,-220
0.162539682,-220
0.165442176,-220
0.168344671,-220
0.171247165,-220
0.174149659,-220
0.177052154,-220
0.179954648,-220
0.182857142,-220
0.185759637,-220
0.188662131,-220
0.191564625,-220
0.19446712,-220
0.197369614,-220
0.200272108,-220
0.203174603,-220
0.206077097,-220
0.208979591,-220
0.211882086,-220
0.21478458,-220
0.217687074,-220
0.220589569,-220
0.223492063,-220
0.226394557,-220
0.229297052,-220
0.232199546,-220
0.23510204,-220
0.238004535,-220
0.240907029,-220
0.243809523,-220
0.246712018,-220
0.249614512,-220
0.252517006,-220
0.255419501,-220
0.258321995,-220
0.261224489,-220
0.264126984,-220
0.267029478,-220
0.269931972,-220
0.272834467,-220
0.275736961,-220
0.278639455,-220
0.28154195,-220
0.284444444,-220
0.287346938,-220
0.290249433,-220
0.293151927,-220
0.296054421,-220
0.298956916,-220
0.30185941,-220
0.304761904,-220
0.307664399,-220
0.310566893,-220
0.313469387,-220
0.316371882,-220
0.319274376,-220
0.32217687,-220
0.325079365,-220
0.327981859,-220
0.330884353,-220
0.333786848,-220
0.336689342,-220
0.339591836,-220
0.342494331,-220
0.345396825,-220
0.348299319,-220
0.351201814,-220
0.354104308,-220
0.357006802,-220
0.359909297,-220
0.362811791,-220
0.365714285,-220
0.36861678,-220
0.371519274,-220
0.374421768,-220
0.377324263,-220
0.380226757,-220
0.383129251,-220
0.386031746,-220
0.38893424,-220
0.391836734,-220
0.394739229,-220
0.397641723,-220
0.400544217,-220
0.403446712,-220
0.406349206,-220
0.4092517,-220
0.412154195,-220
0.415056689,-220
0.417959183,-220
0.420861678,230.405
0.423764172,233.082
0.426666666,231.739
0.42956916,233.082
0.432471655,237.156
0.435374149,245.519
0.438276643,248.372
0.441179138,251.258
0.444081632,252.714
0.446984126,252.714
0.449886621,251.258
0.452789115,251.258
0.455691609,248.372
0.458594104,238.53
0.461496598,237.156
0.464399092,235.79
0.467301587,235.79
0.470204081,235.79
0.473106575,235.79
0.47600907,235.79
0.478911564,235.79
0.481814058,235.79
0.484716553,237.156
0.487619047,237.156
0.490521541,237.156
0.493424036,237.156
0.49632653,238.53
0.499229024,238.53
0.502131519,239.912
0.505034013,239.912
0.507936507,241.301
0.510839002,241.301
0.513741496,242.699
0.51664399,242.699
0.519546485,242.699
0.522448979,244.105
0.525351473,244.105
0.528253968,245.519
0.531156462,245.519
0.534058956,245.519
0.536961451,245.519
0.539863945,246.942
0.542766439,246.942
0.545668934,246.942
0.548571428,246.942
0.551473922,248.372
0.554376417,248.372
0.557278911,249.811
0.560181405,249.811
0.5630839,251.258
0.565986394,251.258
0.568888888,251.258
0.571791383,252.714
0.574693877,252.714
0.577596371,254.178
0.580498866,254.178
0.58340136,254.178
0.586303854,254.178
0.589206349,254.178
0.592108843,254.178
0.595011337,255.65
0.597913832,255.65
0.600816326,255.65
0.60371882,255.65
0.606621315,255.65
0.609523809,257.131
0.612426303,257.131
0.615328798,257.131
0.618231292,257.131
0.621133786,258.621
0.624036281,260.119
0.626938775,260.119
0.629841269,261.626
0.632743764,261.626
0.635646258,261.626
0.638548752,261.626
0.641451247,261.626
0.644353741,261.626
0.647256235,261.626
0.65015873,261.626
0.653061224,261.626
0.655963718,261.626
0.658866213,261.626
0.661768707,261.626
0.664671201,261.626
0.667573696,261.626
0.67047619,263.141
0.673378684,263.141
0.676281179,263.141
0.679183673,263.141
0.682086167,263.141
0.684988662,261.626
0.687891156,261.626
0.69079365,261.626
0.693696145,261.626
0.696598639,261.626
0.699501133,261.626
0.702403628,260.119
0.705306122,260.119
0.708208616,260.119
0.711111111,258.621
0.714013605,258.621
0.716916099,258.621
0.719818594,258.621
0.722721088,258.621
0.725623582,257.131
0.728526077,257.131
0.731428571,257.131
0.734331065,257.131
0.73723356,257.131
0.740136054,257.131
0.743038548,257.131
0.745941043,255.65
0.748843537,255.65
0.751746031,255.65
0.754648526,255.65
0.75755102,255.65
0.760453514,255.65
0.763356009,255.65
0.766258503,255.65
0.769160997,255.65
0.772063492,255.65
0.774965986,257.131
0.77786848,257.131
0.780770975,257.131
0.783673469,257.131
0.786575963,257.131
0.789478458,257.131
0.792380952,257.131
0.795283446,257.131
0.798185941,257.131
0.801088435,257.131
0.803990929,257.131
0.806893424,257.131
0.809795918,257.131
0.812698412,257.131
0.815600907,257.131
0.818503401,257.131
0.821405895,257.131
0.82430839,258.621
0.827210884,258.621
0.830113378,258.621
0.833015873,258.621
0.835918367,258.621
0.838820861,258.621
0.841723356,258.621
0.84462585,258.621
0.847528344,258.621
0.850430839,258.621
0.853333333,258.621
0.856235827,258.621
0.859138321,258.621
0.862040816,257.131
0.86494331,257.131
0.867845804,255.65
0.870748299,255.65
0.873650793,255.65
0.876553287,255.65
0.879455782,255.65
0.882358276,255.65
0.88526077,255.65
0.888163265,255.65
0.891065759,255.65
0.893968253,255.65
0.896870748,257.131
0.899773242,257.131
0.902675736,257.131
0.905578231,257.131
0.908480725,257.131
0.911383219,257.131
0.914285714,257.131
0.917188208,257.131
0.920090702,257.131
0.922993197,257.131
0.925895691,257.131
0.928798185,257.131
0.93170068,257.131
0.934603174,257.131
0.937505668,257.131
0.940408163,257.131
0.943310657,257.131
0.946213151,257.131
0.949115646,257.131
0.95201814,257.131
0.954920634,257.131
0.957823129,257.131
0.960725623,257.131
0.963628117,257.131
0.966530612,257.131
0.969433106,257.131
0.9723356,257.131
0.975238095,257.131
0.978140589,257.131
0.981043083,257.131
0.983945578,255.65
0.986848072,255.65
0.989750566,255.65
0.992653061,254.178
0.995555555,254.178
0.998458049,252.714
1.001360544,252.714
1.004263038,251.258
1.007165532,249.811
1.010068027,248.372
1.012970521,245.519
1.015873015,244.105
1.01877551,239.912
1.021678004,235.79
1.024580498,231.739
1.027482993,229.078
1.030385487,226.446
1.033287981,225.142
1.036190476,226.446
1.03909297,227.758
1.041995464,234.432
1.044897959,241.301
1.047800453,246.942
1.050702947,251.258
1.053605442,252.714
1.056507936,255.65
1.05941043,258.621
1.062312925,258.621
1.065215419,258.621
1.068117913,258.621
1.071020408,258.621
1.073922902,257.131
1.076825396,255.65
1.079727891,255.65
1.082630385,255.65
1.085532879,254.178
1.088435374,254.178
1.091337868,254.178
1.094240362,254.178
1.097142857,254.178
1.100045351,254.178
1.102947845,252.714
1.10585034,252.714
1.108752834,254.178
1.111655328,254.178
1.114557823,254.178
1.117460317,254.178
1.120362811,254.178
1.123265306,254.178
1.1261678,254.178
1.129070294,255.65
1.131972789,255.65
1.134875283,255.65
1.137777777,255.65
1.140680272,255.65
1.143582766,254.178
1.14648526,255.65
1.149387755,255.65
1.152290249,255.65
1.155192743,255.65
1.158095238,254.178
1.160997732,254.178
1.163900226,254.178
1.166802721,254.178
1.169705215,254.178
1.172607709,257.131
1.175510204,258.621
1.178412698,258.621
1.181315192,258.621
1.184217687,258.621
1.187120181,260.119
1.190022675,260.119
1.19292517,255.65
1.195827664,251.258
1.198730158,249.811
1.201632653,-220
1.204535147,-220
1.207437641,-220
1.210340136,-220
1.21324263,-220
1.216145124,-220
1.219047619,-220
1.221950113,-220
1.224852607,-220
1.227755102,-220
1.230657596,-220
1.23356009,-220
1.236462585,-220
1.239365079,-220
1.242267573,-220
1.245170068,-220
1.248072562,-220
1.250975056,-220
1.253877551,-220
1.256780045,-220
1.259682539,-220
1.262585034,-220
1.265487528,-220
1.268390022,-220
1.271292517,-220
1.274195011,-220
1.277097505,-220
1.28,-220
1.282902494,-220
1.285804988,-220
1.288707482,-220
1.291609977,-220
1.294512471,-220
1.297414965,-220
1.30031746,-220
1.303219954,-220
1.306122448,-220
1.309024943,-220
1.311927437,-220
1.314829931,-220
1.317732426,-220
1.32063492,-220
1.323537414,-220
1.326439909,-220
1.329342403,-220
1.332244897,-220
1.335147392,-220
1.338049886,-220
1.34095238,-220
1.343854875,-220
1.346757369,-220
1.349659863,-220
1.352562358,-220
1.355464852,-220
1.358367346,-220
1.361269841,-220
1.364172335,-220
1.367074829,-220
1.369977324,-220
1.372879818,-220
1.375782312,-220
1.378684807,-220
1.381587301,-220
1.384489795,-220
1.38739229,-220
1.390294784,-220
1.393197278,-220
1.396099773,-220
1.399002267,-220
1.401904761,-220
1.404807256,-220
1.40770975,-220
1.410612244,-220
1.413514739,-220
1.416417233,-220
1.419319727,-220
1.422222222,-220
1.425124716,-220
1.42802721,-220
1.430929705,-220
1.433832199,-220
1.436734693,-220
1.439637188,-220
1.442539682,-220
1.445442176,-220
1.448344671,-220
1.451247165,-220
1.454149659,-220
1.457052154,-220
1.459954648,-220
1.462857142,-220
1.465759637,-220
1.468662131,-220
1.471564625,-220
1.47446712,-220
1.477369614,-220
1.480272108,-220
1.483174603,-220
1.486077097,-220
1.488979591,-220
1.491882086,-220
1.49478458,-220
1.497687074,-220
1.500589569,249.811
1.503492063,249.811
1.506394557,249.811
1.509297052,249.811
1.512199546,249.811
1.51510204,249.811
1.518004535,249.811
1.520907029,249.811
1.523809523,251.258
1.526712018,251.258
1.529614512,251.258
1.532517006,251.258
1.535419501,251.258
1.538321995,251.258
1.541224489,251.258
1.544126984,252.714
1.547029478,252.714
1.549931972,252.714
1.552834467,252.714
1.555736961,252.714
1.558639455,252.714
1.56154195,252.714
1.564444444,252.714
1.567346938,252.714
1.570249433,252.714
1.573151927,252.714
1.576054421,252.714
1.578956916,252.714
1.58185941,252.714
1.584761904,252.714
1.587664399,252.714
1.590566893,252.714
1.593469387,251.258
1.596371882,251.258
1.599274376,251.258
1.60217687,251.258
1.605079365,251.258
1.607981859,251.258
1.610884353,251.258
1.613786848,251.258
1.616689342,251.258
1.619591836,251.258
1.622494331,251.258
1.625396825,251.258
1.628299319,251.258
1.631201814,251.258
1.634104308,251.258
1.637006802,251.258
1.639909297,249.811
1.642811791,249.811
1.645714285,249.811
1.64861678,249.811
1.651519274,249.811
1.654421768,249.811
1.657324263,249.811
1.660226757,249.811
1.663129251,249.811
1.666031746,249.811
1.66893424,249.811
1.671836734,249.811
1.674739229,249.811
1.677641723,249.811
1.680544217,248.372
1.683446712,248.372
1.686349206,248.372
1.6892517,248.372
1.692154195,248.372
1.695056689,248.372
1.697959183,246.942
1.700861678,246.942
1.703764172,245.519
1.706666666,245.519
1.70956916,244.105
1.712471655,242.699
1.715374149,241.301
1.718276643,238.53
1.721179138,237.156
